pair_id,batch,stratum,corpus,query_id,doc_id,selection_reason,annotator,label,shortlist_pick,notes
21a58a87-88fa-5721-b0c7-b40c5320fd1c__6ce922e0-9440-5357-89d3-db0de84dc807,1,generic,a2,21a58a87-88fa-5721-b0c7-b40c5320fd1c,6ce922e0-9440-5357-89d3-db0de84dc807,indomain_banded,yc,No Fit,0,
21a58a87-88fa-5721-b0c7-b40c5320fd1c__24fb0602-5d3e-57e3-918b-4c15ed0df25d,1,generic,a2,21a58a87-88fa-5721-b0c7-b40c5320fd1c,24fb0602-5d3e-57e3-918b-4c15ed0df25d,indomain_banded,yc,No Fit,0,
c63e4cc9-55f8-5e36-af46-62962a586864__4a607166-49e6-57fb-86a2-a7232b1b344d,1,generic,a2,c63e4cc9-55f8-5e36-af46-62962a586864,4a607166-49e6-57fb-86a2-a7232b1b344d,indomain_banded,yc,No Fit,0,
c63e4cc9-55f8-5e36-af46-62962a586864__84bc552e-a6d3-5990-9e70-d038b0ae35f7,1,generic,a2,c63e4cc9-55f8-5e36-af46-62962a586864,84bc552e-a6d3-5990-9e70-d038b0ae35f7,indomain_banded,yc,No Fit,0,
c63e4cc9-55f8-5e36-af46-62962a586864__003deb2d-fbdd-5cb5-b122-3cd0a13ddb61,1,generic,a2,c63e4cc9-55f8-5e36-af46-62962a586864,003deb2d-fbdd-5cb5-b122-3cd0a13ddb61,indomain_banded,yc,No Fit,0,
c63e4cc9-55f8-5e36-af46-62962a586864__b0bf7028-6f46-5301-9366-e590d3796b92,1,generic,a2,c63e4cc9-55f8-5e36-af46-62962a586864,b0bf7028-6f46-5301-9366-e590d3796b92,indomain_banded,yc,No Fit,0,
c63e4cc9-55f8-5e36-af46-62962a586864__2675b0f0-1dfb-5aea-bc9c-2727b9b0087f,1,generic,a2,c63e4cc9-55f8-5e36-af46-62962a586864,2675b0f0-1dfb-5aea-bc9c-2727b9b0087f,indomain_banded,yc,No Fit,0,
a8a46ef9-88dd-595c-813e-db693d0adcb1__7fed889b-2f0a-5887-86c3-a45dc3795d3a,1,generic,a2,a8a46ef9-88dd-595c-813e-db693d0adcb1,7fed889b-2f0a-5887-86c3-a45dc3795d3a,indomain_banded,yc,No Fit,0,
a8a46ef9-88dd-595c-813e-db693d0adcb1__1f8a0ad3-a6bb-5f44-b866-3b31c120ea10,1,generic,a2,a8a46ef9-88dd-595c-813e-db693d0adcb1,1f8a0ad3-a6bb-5f44-b866-3b31c120ea10,indomain_banded,yc,No Fit,0,
a8a46ef9-88dd-595c-813e-db693d0adcb1__2f417a1f-7bfd-5575-830d-dd7aebf96442,1,generic,a2,a8a46ef9-88dd-595c-813e-db693d0adcb1,2f417a1f-7bfd-5575-830d-dd7aebf96442,indomain_banded,yc,Potential Fit,0,
a8a46ef9-88dd-595c-813e-db693d0adcb1__2a17f5f8-df64-567c-9b5e-f003205a7342,1,generic,a2,a8a46ef9-88dd-595c-813e-db693d0adcb1,2a17f5f8-df64-567c-9b5e-f003205a7342,indomain_banded,yc,No Fit,0,
a8a46ef9-88dd-595c-813e-db693d0adcb1__e55af60c-82c9-528f-af1b-7489a327a9b0,1,generic,a2,a8a46ef9-88dd-595c-813e-db693d0adcb1,e55af60c-82c9-528f-af1b-7489a327a9b0,indomain_banded,yc,Potential Fit,1,
